,date,text
29678,2018-02-02,Netflix Inc NFLX Stock Live Analysis    
29679,2018-02-02,Amazon is still far from reaching Facebooks profitability which is second only to Alphabet Among the four FANG stocks  Facebook Amazon Netflix NASDAQ NFLX and Google  Facebook has the highest growth rate  
29680,2018-02-02,NFLX    Pot cont Uptrend LONGERTERM WlyDlyHly combo chart   
29681,2018-02-02,ROKU  LONG Roku occupies Netflixs former squarefoot campus in Los Gatos California As old business partners Roku made Netflix their first app when they launched in  NFLX
29648,2018-02-02,Q  EPS Estimates for Netflix Inc Raised by William Blair NFLX   
29676,2018-02-02,Netflix Inc NFLX Insider Sells  in Stock   
29666,2018-02-02,Apenas  minutos de trabajo hoy  en Netflix  NFLX  en el open Market USA aprovechando la volatilidad inicial Si no hay olas los traders no podemos surfearEstrategia de momentum y horquilla combinadas de manera bidireccional con unas comisiones bajsimas  
29673,2018-02-02,Advisory Services Network Has Cut Netflix NFLX Stake By    
29664,2018-02-02,Netflix Inc NFLX Insider Sells  in Stock   
29665,2018-02-02,Coatue Management LLC Has Decreased Holding in Netflix INC NFLX by  Million   
29651,2018-02-02,Segnali di acquisto Arista Networks NYSE ANET Paycom Software NYSE PAYC The Priceline NASDAQ PCLN Rollins NYSE ROL Netflix NASDAQ NFLX       
29652,2018-02-02,Shares of Netflix were on absolute fire over the past year soaring  OK thats great  But the company is also spending a ton of money         NFLX dis  
29653,2018-02-02,Chad Shoop Shares of Netflix were on absolute fire over the past year soaring  OK thats great  But the company is also spending a ton of money         NFLX dis   
29654,2018-02-02,FY EPS Estimates for Netflix Inc NFLX Boosted by Dougherty  Co   
29650,2018-02-02,Entered The Zeitgeist on January   pm  Netflixs  million charge related to Kevin Spaceys firing NFLX      
29656,2018-02-02,Netflix Inc NFLX Shares Bought by Zurcher Kantonalbank Zurich Cantonalbank   
29655,2018-02-02,Dougherty  Co Raises Netflix FY Earnings Estimates to  EPS Previously     NFLX 
29658,2018-02-02,Netflix Inc NFLX Shares Bought by Northwestern Mutual Wealth Management Co    
29659,2018-02-02,Netflix Inc NFLX Shares Bought by Northwestern Mutual Wealth Management Co   
29660,2018-02-02,Should Investors Still Care About Netflix Inc NFLX Egalet Corporation EGLT EGLT   
29661,2018-02-02,NFLX    Pot resume Uptrend in a consolid INTRAWEEK mmm combo chart   
29662,2018-02-02,So if AAPL Apple needswants to accelerate its services arm and its bringing back all that  from oversees it needs to buy something meaningful like NFLX Netflix Netflix is climbing Im buying more from this pullback
29663,2018-02-02,Netflix Inc NFLX Position Raised by Aperio Group LLC   
29657,2018-02-02,NFLX  Netflix NFLX Ranking Raised to Buy at recent price of  on     
29595,2018-02-03,Study Netflix Hulu Amazon Prime Are More Complementary Than Competitive    AMZN NFLX  
29594,2018-02-03,Entered The Zeitgeist on December   am  Netflix True Crime Series To Investigate Trump Inc NFLX      
29593,2018-02-03,NETFLIX Long term uptrend continue NFLX   
29592,2018-02-03,Netflix Priced For And Beyond Perfection NFLX   
29591,2018-02-03,Netflix NFLX Raised to StrongBuy at BidaskClub   
29590,2018-02-03,Netflix Inc NFLX Stake Boosted by Fisher Asset Management LLC    
29582,2018-02-03,NFLX  
29588,2018-02-03,Efg Asset Management Americas Trimmed Netflix NFLX Stake by    
29587,2018-02-03,Harel Insurance Investments  Financial Services Ltd Has  Stake in Netflix Inc NFLX   
29586,2018-02-03,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29585,2018-02-03,Netflix has the First Sale Doctrine as protection against wholesale transfer pricing when mailing disks in the mail it still sends them to M people as I note in my post today m I talk about the NFLX move to streaming in part  coming next Saturday
29584,2018-02-03,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29583,2018-02-03,Netflix NFLX shopping TV WOW   
29596,2018-02-03,NFLX AMZN  Study Netflix Hulu Amazon Prime Are More Complementary Than     
29589,2018-02-03,Arthur M Cohen  Associates LLC Invests  Million in Netflix Inc NFLX    
29597,2018-02-03,Netflix Inc to Post Q  Earnings of  Per Share William Blair Forecasts NFLX   
29605,2018-02-03,Netflix Investor Legend Forecast Warren Buffett Losing Hundreds of Millions of Dollars Investing in Apple  AAPL QQQ DJIA SPX NFLX AMZN  
29599,2018-02-03,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29598,2018-02-03,NFLX VW seeks delay in US trial after lawyer references monkey testing and Hitler on a Netflix documentary   
29614,2018-02-03,Entered The Zeitgeist on January   pm  New Netflix Series Contains Fresh Evidence In Volkswagen Cheating Scandal NFLX      
29613,2018-02-03,Investors Sell Shares of Netflix NFLX on Strength Following Insider Selling   
29612,2018-02-03,Traders Sell Shares of Netflix NFLX on Strength After Insider Selling   
29610,2018-02-03,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29609,2018-02-03, Netflix dips amid positive pressures  Analysis   Netflixs stock NFLX fell in the intraday levels recording a new loss of  in the last     
29608,2018-02-03,How can it be bearish after today If the market bounce back people will sell nflx no way  Or you expect mkt will fall  and Netflix will finally follow
29611,2018-02-03,LIVE Im Crashing Cryptocurrencies Ripple Buy Amazon and Netflix XRPUSD AMZN NFLX   
29606,2018-02-03,Rosenblum Silverman Sutton S F Maintains Position in Netflix NFLX   
29604,2018-02-03,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29603,2018-02-03,Harel Insurance Investments  Financial Services Ltd Raises Position in Netflix Inc NFLX   
29602,2018-02-03,Seatown Holdings Lowered By  Million Its Netflix NFLX Position   
29601,2018-02-03,SeaCrest Wealth Management LLC Takes  Million Position in Netflix Inc NFLX   
29600,2018-02-03,Netflix Inc NFLX to Post FY Earnings of  Per Share Dougherty  Co Forecasts   
29607,2018-02-03,Fisher Asset Management LLC Buys  Shares of Netflix Inc NFLX   
29554,2018-02-04,As weve noted the three big SVODs serve different purposes Study Netflix Hulu Amazon Prime Are More Complementary Than Competitive    AMZN NFLX  via 
29560,2018-02-04,Netflix NFLX har lagt in Sagan Om Ringen Hrskarringen Mktigt   
29559,2018-02-04,Ashfield Capital Partners Lifted Position in Netflix NFLX by  Million as Market Value Rose 
29558,2018-02-04,NFLX  How Netflix Inc Stock Rose  in January    
29557,2018-02-04,Netflix Inc NFLX Stock Live Analysis    
29556,2018-02-04,Did you see The Farthest Voyager in Space on Netflix NFLX Highly recommended
29555,2018-02-04,Indeed atm  AMZN   NFLX are the go to  stocks in the US With PEs of    respectively  In the UK Some popular stocks also have a rich PE Eg                   years from now a different cohort 
29553,2018-02-04,Netflix Inc NASDAQNFLX Shares Sold by Livforsakringsbolaget Skandia     NFLX  
29545,2018-02-04,Great game but when you find out what  did tonightohhhhh Mind blowing nflx 
29551,2018-02-04,Netflix NFLX Earns Daily Coverage Optimism Rating of    
29550,2018-02-04,Netflix NFLX Earning Somewhat Negative Press Coverage Report Finds   
29549,2018-02-04,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29548,2018-02-04,Netflix Inc NFLX Stock Live Analysis    
29547,2018-02-04,NFLX Netflix with the surprise announcement that it will be streaming the Cloverfield sequel originally titled God Particle now The Cloverfield Paradox which sounds like the title of a Big Bang Theory episode after the Super Bowl   
29546,2018-02-04,Netflix Announces The Cloverfield Paradox Is Premiering Tonight     US   Components   
29544,2018-02-04,Entered The Zeitgeist on January   pm  Netflixs  million charge related to Kevin Spaceys firing NFLX      
29543,2018-02-04,NFLX VIA  Why Netflixs surprise Cloverfield Paradox release could be a game     
29552,2018-02-04,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29561,2018-02-04,Whale Rock Capital Management Maintains Position in Netflix NFLX   
29563,2018-02-04, Shares in Netflix Inc NFLX Acquired by Telemus Capital LLC   
29564,2018-02-04,Green Square Capital Upped Its Stake in Netflix Com NFLX as Stock Rose   
29562,2018-02-04, Shares in Netflix Inc NFLX Acquired by Telemus Capital LLC    
29581,2018-02-04,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29580,2018-02-04,Charts show that NFLX is positive the week after the big game  of the time over the past  years with an average return of nearly  definitely looking at netflix this week    QQQ NFLX SPY SDOW TQQQ
29578,2018-02-04,Netflix Inc NFLX Forecasted to Post FY Earnings of  Per Share    
29577,2018-02-04,Insider Selling Netflix Inc NFLX Director Sells  Shares of Stock   
29576,2018-02-04,Everence Capital Management Inc Acquires  Shares of Netflix Inc NFLX   
29575,2018-02-04,Traders Sell Netflix NFLX on Strength After Insider Selling   
29574,2018-02-04,Rosenblum Silverman Sutton S F Boosted By  Its Netflix NFLX Position   
29579,2018-02-04,Netflix Inc NFLX Forecasted to Post FY Earnings of  Per Share   
29572,2018-02-04,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29571,2018-02-04,Entered The Zeitgeist on January   pm  Netflixs  million charge related to Kevin Spaceys firing NFLX      
29570,2018-02-04,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29569,2018-02-04,Problem with Netflix producing their own series is that overall its costing more than it can generate a revenue So how long can this obsession continue before investors realize NFLX is spending way too much money on these unprofitable projects Be cautious going forward
29568,2018-02-04,NFLX DIS  Netflix CEO Reed Hastings Admits Disneys Streaming Platform Will     
29567,2018-02-04,NFLX One of the first down weeks we have seen for shares of Netflix in a while The shares closed down  but are   
29566,2018-02-04,Netflix NFLX Stake Boosted by Moore Capital Management Lp   
29573,2018-02-04,Barton Investment Management Has Trimmed By  Million Its Netflix NFLX Holding   
29565,2018-02-04,Everence Capital Management Inc Purchases  Shares of Netflix Inc NFLX   
29500,2018-02-05,Calton  Associates Inc Purchases Shares of  Netflix Inc NFLX   
29501,2018-02-05,This Breakout Stock Has Amazon Netflix BofA As Clients AMZN NFLX BAC HPE SNY WDAY     
29502,2018-02-05,CIBC Asset Management Inc Decreases Holdings in Netflix Inc NFLX   
29503,2018-02-05,AMZN NFLX Amazon Netflix and other bull market favorites slide in early trading   
29504,2018-02-05,Huntington National Bank Sells  Shares of Netflix Inc NFLX   
29508,2018-02-05,As Netflix NFLX Market Valuation Rose Shareholder Ctc Has Decreased Its Holding   
29506,2018-02-05,As Netflix NFLX Market Valuation Rose Shareholder Amarillo National Bank Cut Its Stake 
29507,2018-02-05,NFLX    Pot cont Uptrend LONGERTERM WlyDlyHly combo chart   
29509,2018-02-05,NFLX  Why Netflix Inc Stock Is a Screaming Good Play Now    
29510,2018-02-05, Earnings Per Share Expected for Netflix Inc NFLX This Quarter    
29499,2018-02-05,Netflix NFLX Share Price Rose While Nli International Raised Stake by  Million   
29505,2018-02-05,Hillman Co Trimmed Its Netflix NFLX Holding   
29498,2018-02-05,As Netflix NFLX Valuation Rose Holder Coatue Management Trimmed Holding   
29489,2018-02-05,This Breakout Stock Has Amazon Netflix BofA As ClientsWhat do Amazon AMZN Netflix NFLX and Bank of America BAC have in common They all use cloudbased humanresources and payroll    
29496,2018-02-05, ET Volume Leader   NFLX  Netflix Inc NFLX    High today of  day low   
29495,2018-02-05,NFLX Z  TripAdvisor adds Netflix board member amid reorganization stock     
29494,2018-02-05,Liberty Mutual Group Asset Management Has Cut Netflix NFLX Stake By  Million   
29493,2018-02-05,Buying TSLA ROKU NFLX             
29492,2018-02-05,Liberty Mutual Group Asset Management Has Cut Netflix NFLX Stake By  Million    
29491,2018-02-05,all youre good for is a temporary stock market upswing  let me have this for  goddamn minutes   OK DUST YOURSELF OFF NETFLIX  
29490,2018-02-05,NFLX PLUMMETS  CLOSING  LOWER    Sentiment Very bullish  
29511,2018-02-05,Head to Head Contrast Live Ventures LIVE  Netflix NFLX    
29488,2018-02-05,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29486,2018-02-05,Entered The Zeitgeist on December   am  Netflix True Crime Series To Investigate Trump Inc NFLX      
29485,2018-02-05,Netflix NFLX Shares Gap Down on Insider Selling   
29484,2018-02-05,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29497,2018-02-05,A bullish Wave the Flag Bullish has occurred at  PM Feb  at   on Netflix Inc NFLX NFLX Want to EarnRegister here   
29512,2018-02-05,NetflixNFLXQ    
29487,2018-02-05,I figure if Netflix ever posted NFLX minutes of consumption during the Super Bowl the past  years one thing is for sure either Id be very surprised or almost all of my followers would be very surprised
29514,2018-02-05,Netflix Stock Is a Screaming Good Play Now NFLX    
29513,2018-02-05,Netflix NFLX lost  today because its not over yet
29542,2018-02-05,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29541,2018-02-05,Dougherty  Co Sets Netflix Q  Earnings Estimates at  EPS    NFLX 
29539,2018-02-05,NFLX Why Netflixs surprise Cloverfield Paradox release could be a gamechanger   
29538,2018-02-05,    v  v  v  v  v  v   months                        
29537,2018-02-05,Why Netflixs surprise Cloverfield Paradox release could be a gamechanger    NFLX CMCSA VIA 
29536,2018-02-05,Insider Selling Netflix Inc NFLX Director Sells  Shares of Stock   
29535,2018-02-05,Entered The Zeitgeist on January   pm  New Netflix Series Contains Fresh Evidence In Volkswagen Cheating Scandal NFLX      
29534,2018-02-05,Netflix Call NFLX Shareholder Highbridge Capital Management Has Cut Holding by  as Stock Value Rose 
29533,2018-02-05,As Netflix NFLX Share Price Rose Atika Capital Management Boosted Position by  Million 
29532,2018-02-05,NFLX Netflix CEO Reed Hastings Admits Disneys Streaming Platform Will Do Well   
29531,2018-02-05,NFLX How Netflix Inc Stock Rose  in January   
29530,2018-02-05,Why Netflixs surprise Cloverfield Paradox release could be a gamechanger    NFLX
29529,2018-02-05,Horseman Capital Management LTD Increased Netflix NFLX Holding By    
29540,2018-02-05,Which companies are most beloved by the valuable  population  which they most want to work for    Thx   Nike NKE  Sony SNE  Apple AAPL  Netflix NFLX  YouTube GOOGL  Microsoft MSFT  Amazon AMZN  Disney DIS  Google GOOGL
29527,2018-02-05, is proof  NFLX business model is bulletproof and successful I made enough on NFLX for lifetime membership Maybe I should aim higher
29528,2018-02-05,Dougherty  Co Weighs in on Netflix Incs Q  Earnings NFLX    
29515,2018-02-05,Mig Capital Decreased Its Netflix NFLX Holding by  Million   
29516,2018-02-05,NFLX  Brokerages Anticipate Netflix Inc  Will Announce Earnings of  Per Share   
29518,2018-02-05,NetflixNFLXQ   Invest Shift    
29519,2018-02-05,Netflix Amazon and HBO handed NBC millions for Super Bowl ads  as they actively try and kill TV    NFLX AMZN  CMCSA TWX 
29520,2018-02-05,Study Netflix Hulu Amazon Prime Are More Complementary Than Competitive    AMZN NFLX
29517,2018-02-05,Look  at Netflix   stock today Three years ago it was less than   
29522,2018-02-05,Green Square Capital Increases Holding in Netflix Com NFLX   
29523,2018-02-05,Amazon Netflix and other bull market favorites dive in early trading    Dont have a bad conscious if you take some profits here  was great FNG FB AMZN AAPL NFLX GOOGL however you could also sell some puts  calls to profit from 
29524,2018-02-05,AMZN NFLX GOOGL FB AAPL  Amazon Netflix and other bull market favorites dive in early trading    
29525,2018-02-05,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29526,2018-02-05,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29521,2018-02-05,Huntington National Bank Sells  Shares of Netflix Inc NFLX   
29457,2018-02-06,JUST IN Netflix shares hit session high in late afternoon last up  percent NFLX  
29449,2018-02-06, AAPL DIS NFLX AMZN  
29456,2018-02-06, Growth Stocks to Buy and Hold for  Years   NFLX SBUX MA      
29455,2018-02-06,Apenas  minutos de sesin del  en Netflix  NFLX  y Ali Baba  BABA en el open Market USA aprovechando la fuerza de impulso de la volatilidad inicial Si no hay olas los traders no podemos surfearEstrategia de momentum y horquilla combinadas  
29454,2018-02-06,NFLX FINDS SUPPORT AT DAY MOVING AVERAGE    Sentiment Bullish  
29453,2018-02-06,Millennials Arent Watching TV Buy These Stocks Not Netflix to Profit   NFLX GOOGL FB OTTV  
29452,2018-02-06,NFLX    Pot intermed bot in Downtrend INTRAWEEK mmm combo chart   
29451,2018-02-06,DIS Walt Disney Co Q Profit Jumps                  TWX NFLX VIA CBS FOX DISCK
29450,2018-02-06,DIS Walt Disney Co Q Profit Jumps                  TWX NFLX VIA CBS FOX DISCK
29448,2018-02-06, shares hit session high in late afternoon last up  percent NFLX  
29442,2018-02-06,Investors Sell Netflix NFLX on Strength NFLX   
29446,2018-02-06,Tech is leading the stock market rebound AAPL GOOGL FB NFLX  Tech stocks are leading the market rebound Tuesday Apple was up  Tuesday afternoon with Netflix Amazon and Facebook all in the green as well  US stocks are attempting to reboun   
29445,2018-02-06,CEO Bob Iger says Disneys DIS streaming service will be able to compete with Netflix NFLX   
29444,2018-02-06,NFLX Netflix Inc SEC Filing Form    
29443,2018-02-06,Diversifying your investments across different assets and asset classes is a great way to limit your risk    I love cryptocurrency but I invest in stocks too    invests in  that I like   AMZN  Amazon  NFLX  Netflix    
29441,2018-02-06,Investors Sell Shares of Netflix NFLX on Strength NFLX   
29440,2018-02-06,CEO Bob Iger says Disneys streaming service will be able to compete with Netflix DIS NFLX      Top  Stories On The Web   
29439,2018-02-06,CEO Bob Iger says Disneys streaming service will be able to compete with Netflix DIS NFLX      Top  Stories On The Web   
29438,2018-02-06,Did Netflix Just Create the First Truly Global Hit in Altered Carbon NFLX      Top  Stories On The Web   
29437,2018-02-06,Did Netflix Just Create the First Truly Global Hit in Altered Carbon NFLX      Top  Stories On The Web   
29458,2018-02-06,JUST IN Netflix shares hit session high in late afternoon last up  percent NFLX  
29447,2018-02-06,Netflix is in most American homes  and somehow still growing NFLX   
29459,2018-02-06,Maplelane Capital Upped By  Million Its Netflix NFLX Stake   
29463,2018-02-06,NFLX  Vetr Crowd Upgrades Netflix To Buy    
29461,2018-02-06,Netflix stock jumped so high in January its amazing the shares have held onto these gains   nflx  
29460,2018-02-06,its rather amazing that AMZN and NFLX havent been impacted by    The rest of  s potential  are all taking hits Disney Google Apple not Facebook Note I tread Disney and Netflix as coth horsemen
29483,2018-02-06,Entered The Zeitgeist on December   am  Netflix True Crime Series To Investigate Trump Inc NFLX      
29482,2018-02-06,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29481,2018-02-06,NFLX     Companys forth quarter EPS more than doubled by   to  compared to a year ago on growing Sales of   to  BIL  
29480,2018-02-06,NFLX now everybody is a bear guru  Been battling Netflix zombie longs since  Uncle rico Monday morning quarter backs
29479,2018-02-06,Will Netflix Incs NASDAQNFLX Earnings Grow Over The Couple Of Years     US  States    
29477,2018-02-06,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29476,2018-02-06,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29475,2018-02-06,Entered The Zeitgeist on January   pm  New Netflix Series Contains Fresh Evidence In Volkswagen Cheating Scandal NFLX      
29474,2018-02-06,NFLX FB AAPL GOOGL DISCA  Netflix shares fall  premarket as FAANG media stocks follow     
29478,2018-02-06,Netflix NASDAQ NFLX PDG Reed Hastings tous mais a admis lancien modle Netflix est un logiciel dcroissant lentement les donnes de rcupration terbaik Netflix stock a t claqu sur les nouvelles il a perdu  million dabonns mcontents aprs  
29472,2018-02-06,Vetr users have upgraded Netflix Inc to a BUY Rating  stars giving NFLX a target price of    
29473,2018-02-06,National Asset Management Has Trimmed Its Netflix NFLX Position by    
29464,2018-02-06,The unbeatable advantage of Apple and Amazon    Why Apple Amazon Netflix business models are stronger than those that depend on advertising         
29465,2018-02-06,Netflix Inc NFLX Stock Live Analysis    
29466,2018-02-06,As Netflix NFLX Stock Rose Lmr Partners Llp Trimmed by  Its Stake   
29467,2018-02-06,Ctc Cut Position in Netflix NFLX by  Million as Share Price Rose   
29462,2018-02-06,NFLX    Will Netflix Incs NASDAQNFLX Earnings Grow Over The Couple Of Years   
29469,2018-02-06,As Netflix NFLX Market Value Rose Whale Rock Capital Management Upped Position   
29470,2018-02-06,Some of the big rebounds this am so far Broadcom Qualcomm Apple Netflix Alphabet  AVGO QCOM AAPL NFLX GOOG
29471,2018-02-06,   mit Erholungsversuch zur Erffnung AAPL AMZN NFLX  
29468,2018-02-06,NFLX Why Netflix Inc Stock Is a Screaming Good Play Now   
29402,2018-02-07,Sumitomo Mitsui Trust Holdings Inc Trims Holdings in Netflix Inc NFLX   
29410,2018-02-07,DIS is too late would have to play catch up to NFLX and it will be difficult to disrupt Netflix and chill
29409,2018-02-07,NFLX a Close above  can shoot this  to new his quickly             
29408,2018-02-07,Netflix Inc NFLX Stake Increased by Mitsubishi UFJ Kokusai Asset Management Co Ltd   
29407,2018-02-07,Edgewood Management Has Decreased Its Holding in Netflix NFLX as Market Value Rose   
29406,2018-02-07,Pushed on January   pm  New Netflix Series Contains Fresh Evidence In Volkswagen Cheating Scandal NFLX      
29405,2018-02-07,          Netflix NFLX   
29404,2018-02-07,C M Bidwell  Associates LTD Lowered Its Netflix NFLX Holding   
29403,2018-02-07,Netflix NFLX Holder Pinnacle Financial Partners Trimmed Its Stake by  as Share Value Rose 
29401,2018-02-07,The unbeatable advantage of Apple and Amazon    Why Apple Amazon Netflix business models are stronger than those that depend on advertising         
29389,2018-02-07,NFLX    Pot intermed top in Uptrend LONGERTERM WlyDlyHly combo chart   
29399,2018-02-07,Netflix NFLX is a machine up  for  Year barely fluttered in the last  day Meltdown Of all the FANGS Netflix is a content Machine
29398,2018-02-07,Netflix Inc NFLX Shares Sold by Quantitative Systematic Strategies LLC   
29397,2018-02-07,Playing around with chartsPlanet Fitness approaching oversold RSI threshold while Netflix no longer appears overbought PLNT NFLX Random  for ya 
29411,2018-02-07,NFLX All ABORD            
29395,2018-02-07,ROKU NFLX tomorrow should be another good day for these two              
29394,2018-02-07,NFLX CLOSES BELOW ITS OPENING PRICE UNABLE TO HOLD EARLY SESSION GAINS    Sentiment Bearish  
29393,2018-02-07,As Dish Network DISH Stock Value Rose Perella Weinberg Partners Capital Management LP Has Lifted Holding Netflix  NFLX Valuation Rose While Rosenblum Silverman Sutton S F Boosted Holding by 
29392,2018-02-07,Sound exactly like nflx more shows they make more money they lose  billion cash flow good thing they are growing Both tesla and Netflix can easily find financing But watch out when that growth slows down
29391,2018-02-07,Netflix Hulu and Amazon Prime offer similar fare  but their viewers have different habits NFLX AMZN   
29390,2018-02-07,Netflix NFLX Tesla TSLA and other Tech companies are burning cash and investors are loving them      
29400,2018-02-07,Netflix Inc NFLX Shares Bought by Mitsubishi UFJ Kokusai Asset Management Co Ltd   
29412,2018-02-07,Vetr users have downgraded Netflix Inc to a HOLD Rating  stars giving NFLX a target price of    
29396,2018-02-07,Green Square Capital Boosted Netflix Com NFLX Stake   
29414,2018-02-07,Tpg Group Holdings Sbs Advisors Increases Stake in Netflix NFLX   
29413,2018-02-07,Interested in how  NFLX got to where it is today vs Blockbuster and HBO listen to  podcast now    
29436,2018-02-07,       Netflix NASD NFLX         
29434,2018-02-07,NFLX How will this DIS news affect Netflix   
29433,2018-02-07,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29432,2018-02-07,Netflix NFLX Lowered to Hold at Vetr   
29431,2018-02-07,Netflix NFLX Lowered to Hold at Vetr   
29430,2018-02-07,Netflix NFLX Lowered to Hold at Vetr    
29429,2018-02-07,Netflix Inc NFLX Director Sells  in Stock   
29428,2018-02-07,NFLX    Pot intermed bot in Downtrend INTRAWEEK mmm combo chart   
29427,2018-02-07,Netflix Inc NFLX Director Sells  in Stock   
29426,2018-02-07,Netflix NFLX Rating Lowered to Hold at Vetr   
29435,2018-02-07, even put it himself If you arent willing to own stock for  years dont even think about owning it for  minutes Track  and  on Call Levels now          
29424,2018-02-07,Ja teda jako milenial ptel eru A pesto e netflix mam tak Friends jsou venku tak dlouho ze na n NFLX nemohl mit vliv
29425,2018-02-07,Netflix Inc NFLX to Post Q  Earnings of  Per Share Dougherty  Co Forecasts   
29415,2018-02-07,Netflix NFLX Rating Increased to Buy at Vetr    
29417,2018-02-07,Insider Selling Netflix Inc NFLX Director Sells  Shares of Stock   
29418,2018-02-07,Quantitative Systematic Strategies LLC Has  Stake in Netflix Inc NFLX   
29416,2018-02-07,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29420,2018-02-07,The   Are Now Available for  with       Up To x Leverage  Enjoy The Strong Bullishness Of The  Sector       FB AAPL AMZN NFLX GOOG     
29421,2018-02-07,Netflix And The Cloverfield Disruption NFLX   
29422,2018-02-07,DIS NFLX  Netflix And The Cloverfield Disruption    
29423,2018-02-07,Mai Wealth Advisors Has Trimmed Netflix Put NFLX Holding By  Million   
29419,2018-02-07,Blockbusters declined several offers to acquire Netflix for a mere  million Netflix revenue for  was  billion NFLX
29327,2018-02-08,Netflix Inc NFLX Stake Decreased by Gerber Kawasaki Wealth  Investment Management   
29333,2018-02-08,FAANG Cracks Facebook Alphabet Apple Outperform Amazon Netflix  Barrons Tech Trader Daily  FB GOOGL AMZN NFLX AAPL WDAY CRM  
29328,2018-02-08,Underhill Investment Management Increased Its Cme Group CME Holding by  Million Stock Declined As Netflix NFLX Market Value Rose Ctc Trimmed by  Million Its Holdi
29329,2018-02-08,PrairieView Partners LLC Invests  in Netflix Inc NFLX   
29330,2018-02-08,Helios and Matheson CEO Farnsworth Talking MoviePass Partnerships Tells Benzinga When we lower the price and free streaming is included in the bundle we see doing joint ventures with Amazon Prime Netflix HMNY NFLX AMZN    
29331,2018-02-08,Netflix Inc NFLX Director Sells  in Stock   
29332,2018-02-08,Nomura Asset Management Company LTD Trimmed Netflix NFLX Holding   
29334,2018-02-08,Traders Sell Shares of Netflix NFLX on Strength on Insider Selling   
29340,2018-02-08,Powerful Building a Culture of Freedom and Responsibility NFLX  When it comes to recruiting motivating creating great teams most companies have it all wrong McCord helped create the unique and highperforming culture at Netflix   
29336,2018-02-08,Stephens Investment Management Group LLC Has  Million Stake in Netflix Inc NFLX   
29337,2018-02-08,Investors Sell Shares of Netflix NFLX on Strength After Insider Selling   
29338,2018-02-08,AMZN Netflix NFLX Stock Drops Downgraded at Jefferies Kaya Yurieff Follow Jul on ADFN InvestorsHub message boards   
29339,2018-02-08,nflx is netflix beingh bought by apple please confirm  
29341,2018-02-08,NFLX    Pot resume Downtrend in pullback INTRAWEEK mmm combo chart   
29342,2018-02-08,Disneys IP and sports rights should aid its streaming efforts But its need to protect payTVtheater revenue streams  Netflix and Amazons headstarts will act as handicaps DIS NFLX AMZN  
29344,2018-02-08,New post Disney thinks it has a big advantage in its coming war with Netflix  but Wall Streets split on whether it has the right battle strategy DIS NFLX   
29326,2018-02-08,A bullish Wave the Flag Bearish has occurred at  PM Feb  at   on Netflix Inc NFLX NFLX Want to EarnRegister here   
29335,2018-02-08, FB v NFLX   Facebook Vs Netflix Whats The Better Buy In A Market Downturn         To download the Investing App     
